pl_name,pl_radj,pl_bmassj,pl_orbper,st_teff
HD 106515 A b,1.08000000,18.90000000,3626.00000000000,5362.00
Kepler-1030 b,0.22125078,0.02110000,19.32952416000,4983.00
TOI-125 d,0.26139709,0.04279017,19.98000000000,5320.00
HATS-13 b,1.21200000,0.54300000,3.04404990000,5523.00
WASP-47 e,0.16326195,0.02831717,0.78961000000,5565.00
TOI-4379 b,1.48900000,1.11300000,3.25352000000,6020.00
TOI-198 b,0.12846842,0.00839000,10.21520000000,3650.00
K2-28 b,0.20697654,0.01890000,2.26045500000,3214.00
L 98-59 c,0.11856564,0.00629270,3.69067640000,3415.00
TOI-500 d,0.56700000,0.10420717,26.23300000000,4440.00
HD 155918 b,0.23900000,0.02400000,1.87567000000,5771.84
Kepler-1866 b,0.18575740,0.01570000,11.66009998000,5791.00
TOI-4582 b,0.94000000,0.53000000,31.03400000000,5190.00
TOI-2274 b,0.21857474,0.02070000,2.67963000000,3943.00
TOI-1751 b,0.26325181,0.06135386,37.46852000000,5970.00
HATS-67 b,1.68500000,1.45000000,1.60917880000,6594.00
TOI-4145 A b,1.18700000,0.43000000,4.06644280000,5281.00
TOI-1180 b,0.27406595,0.03146352,9.68676037800,4738.00
WASP-178 b,1.81000000,1.66000000,3.34482850000,9360.00
HD 25463 b,0.22708203,0.02737326,7.04914230000,6353.00
Kepler-1990 b,0.29173036,0.03380000,1.73513619000,5751.00
Kepler-633 c,0.20483575,0.01850000,23.78319931000,5877.00
KMT-2021-BLG-0240L b,0.85600000,0.21000000,,
Kepler-397 c,0.55100000,0.09950000,135.49852700000,5307.00
Kepler-781 b,0.25782853,0.02740000,13.21407320000,5162.00
Kepler-1021 b,0.20786868,0.01900000,13.47469571000,5431.00
TOI-5592 b,1.53000000,0.89900000,2.60858460000,6237.00
TOI-1338 c,0.92000000,0.23723493,215.79000000000,5723.20
K2-232 b,1.00000000,0.39800000,11.16845400000,6154.00
TRAPPIST-1 c,0.09786795,0.00411543,2.42193700000,2566.00
Kepler-1952 b,0.11055719,0.00650000,27.21080017000,5973.00
Kepler-216 c,0.27100000,0.02980000,17.40666900000,6091.00
HD 153950 b,1.17000000,2.95000000,499.39999000000,6124.00
Kepler-1431 b,0.13114462,0.00869000,5.86601526000,5806.00
GJ 806 c,0.20300000,0.01824884,6.64064000000,3600.00
WASP-42 b,1.12200000,0.52700000,4.98168190000,5315.00
TOI-1775 b,0.71793227,0.30204978,10.24055490000,5284.00
TOI-2796 b,1.54000000,0.44000000,4.80849830000,5764.00
HD 28109 b,0.23998614,0.01950738,22.89105400000,6189.00
GJ 849 b,1.24000000,0.89300000,1925.31000000000,3467.00
Kepler-347 b,0.17600000,0.01430000,12.79836000000,6088.00
HATS-31 b,1.64000000,0.88000000,3.37796000000,6050.00
TOI-2427 b,0.16058552,0.01230000,1.30600110000,4072.00
HD 110067 d,0.25443884,0.02680692,20.51961700000,5266.00
Kepler-1514 c,0.10490000,0.00546000,10.51418100000,6145.00
Kepler-68 e,0.99700000,0.27200000,3455.00000000000,5847.00
TOI-332 b,0.28548537,0.17997133,0.77703800000,5251.00
TOI-880.02,0.19537905,0.01710000,2.57571000000,5050.00
WASP-123 b,1.35000000,0.89900000,2.97764359000,5740.00
EPIC 246851721 b,1.05100000,3.00000000,6.18023500000,6202.00
HD 80653 b,0.14390247,0.01799713,0.71957300000,5959.00
TOI-6130 b,1.28000000,1.05000000,2.39267900000,6110.00
WASP-166 b,0.63000000,0.10100000,5.44354000000,6050.00
HD 23472 b,0.17842836,0.02617765,17.66708700000,4684.00
Kepler-396 b,0.31200000,0.23800000,42.99400000000,5656.00
K2-338 b,0.09189060,0.00340000,3.85061400000,4558.00
KMT-2019-BLG-1367L b,0.16500000,0.01283712,,
CoRoT-7 b,0.15000000,0.01282637,0.85359163000,5275.00
K2-34 b,1.22669495,1.69800000,2.99563480000,6168.00
K2-43 c,0.21589794,0.02030000,2.19888400000,3840.60
TOI-1422 c,0.23284900,0.04404893,34.56330000000,5840.00
TOI-1683.01,0.23510942,0.02350000,3.05753560000,4402.00
TOI-5143 c,1.45000000,,5.20971180000,5183.00
NGTS-25 b,1.02300000,0.63900000,2.82309300000,5321.00
HD 34445 f,0.61300000,0.11900000,676.80000000000,5836.00
TOI-5726.01,0.22785301,0.02220000,5.49112521500,5874.00
TOI-1260 b,0.21500617,0.02693277,3.12746300000,4227.00
WASP-184 b,1.33000000,0.57000000,5.18170000000,6000.00
TOI-3976 A b,1.09500000,0.17500000,6.60766200000,5975.00
HD 156846 b,1.11000000,10.67000000,359.51001000000,6090.00
Kepler-399 c,0.12800000,0.00829000,26.67569000000,5502.00
Kepler-1802 b,0.14907689,0.01080000,15.45020008000,4245.00
TOI-4155 b,0.28637751,0.03270000,3.32072900000,5724.00
TOI-431 c,0.13300000,0.00890418,4.84940000000,4850.00
TOI-5716 b,0.08564561,0.00264000,6.76630000000,3436.00
WASP-171 b,0.98000000,1.08400000,3.81862440000,5965.00
HATS-42 b,1.40000000,1.88000000,2.29210200000,6060.00
WASP-151 b,1.18700000,0.31600000,4.53347750000,5871.00
HD 63433 d,0.09572681,0.00394000,4.20907500000,5688.00
HD 35843 b,0.20400000,0.01837469,9.89910000000,5666.00
WASP-130 b,0.89000000,1.23000000,11.55098000000,5625.00
Kepler-1099 b,0.25247569,0.02640000,2.16845259300,5837.00
Kepler-289 b,0.22214330,0.01164150,34.53830000000,5990.00
TOI-277 b,0.23641757,0.02360000,3.99400000000,4031.00
KOI-94 c,0.38500000,0.04900000,10.42364800000,6182.00
TOI-2986 b,0.82900000,0.30400000,3.27836620000,5906.00
mu2 Sco b,1.09000000,14.40000000,,21700.00
Kepler-1863 b,0.20189994,0.01810000,44.99760056000,5871.00
KMT-2025-BLG-1616L b,0.65500000,0.13315361,,
KOINTREAU-1 b,1.11000000,10.60000000,,3551.00
TOI-2411 b,0.14987982,0.01090000,0.78269420000,4099.00
TOI-3082 b,0.32671124,0.04090000,1.92690700000,4263.00
XO-2 S b,0.97100000,0.26000000,18.15700000000,5399.00
Kepler-475 b,0.22214292,0.02130000,3.10550818900,5009.00
Kepler-1836 b,0.22776668,0.02220000,5.25416994100,6123.00
Kepler-896 c,0.28102466,0.03170000,29.54225660000,5510.00
Barnard e,0.05680000,0.00060725,6.73920000000,3195.00
Kepler-385 b,0.24400000,0.04000000,10.04368600000,6326.00
EPIC 201238110 b,0.16683023,0.01310000,28.16560000000,3587.00
Kepler-691 b,0.18645731,0.01580000,8.11437900000,3715.00
Kepler-20 g,0.42000000,0.06280087,34.94000000000,5495.00
Kepler-332 b,0.10400000,0.00537000,7.62632400000,4955.00
Kepler-1041 b,0.26228923,0.02820000,24.75764210000,5957.00
Kepler-1578 b,0.09278259,0.00352000,1.45088690700,5545.00
Kepler-1966 b,0.09856322,0.00437000,8.61742973300,5009.00
Kepler-1987 d,0.23730971,0.02380000,5.64491415400,4769.00
Kepler-819 b,0.24623071,0.02530000,33.19956480000,5279.00
Kepler-887 c,0.10081185,0.00474000,7.63846023000,6194.00
Kepler-306 d,0.22000000,0.02100000,17.32664400000,4954.00
Kepler-177 c,0.77883843,0.04625114,49.40926000000,5732.00
Kepler-635 b,0.23552502,0.02350000,23.44971004000,6174.00
Kepler-1083 b,0.29975912,0.03540000,33.41779930000,5049.00
Kepler-79 d,0.63900000,0.01900000,52.09020000000,6174.00
Kepler-195 c,0.13800000,0.00951000,34.09686300000,5329.00
Kepler-1661 b,0.34525827,0.05348771,175.06000000000,5100.00
HATS-25 b,1.26000000,0.61300000,4.29864320000,5715.00
TOI-836 b,0.15202096,0.01425297,3.81673000000,4552.00
Proxima Cen b,0.09130000,0.00331940,11.18465000000,2900.00
K2-413 b,0.06779385,0.00114000,0.80940000000,4116.00
Kepler-212 b,0.09700000,0.00416000,16.25758200000,5852.00
Kepler-195 b,0.18100000,0.01500000,8.30787200000,5329.00
K2-83 c,0.13230440,0.00882000,9.99767000000,3910.00
Kepler-24 d,0.14900000,0.92489845,4.24438400000,5897.00
